id,submitter,authors,title,comments,journal-ref,doi,abstract,report-no,categories,versions
math/0001047,Alexei Glutsuk,A.A.Glutsuk,"Nonuniformizable skew cylinders. A counterexample to the simultaneous
  uniformization problem",8 pages,,,"  At the end of 1960-ths Yu.S.Ilyashenko stated the problem: is it true that
for any one-dimensional holomorphic foliation with singularities on a Stein
manifold leaves intersecting a transversal disc can be uniformized so that the
uniformization function would depend holomorphically on the transversal
parameter? In the present paper we construct a two-dimensional counterexample.
This together with the previous result of Yu.S.Ilyashenko (Lemma 1) implies
existence of a counterexample given by a foliation on affine (projective)
algebraic surface by level curves of a rational function with singularities
deleted. This implies also that Bers' simultaneous uniformization theorem for
topologically trivial holomorphic foliations by compact Riemann surfaces does
not extend to the general fibrations by compact Riemann surfaces with
singularities.
",,['math.CV math.DS'],"['v1', 'v2', 'v3']"
1508.01779,Alan Chang,Alan Chang,The Whitney extension theorem in high dimensions,,,,"  We prove a variant of the standard Whitney extension theorem for $\mathcal
C^m(\mathbb R^n)$, in which the norm of the extension operator has polynomial
growth in $n$ for fixed $m$.
",,['math.CA'],['v1']
1910.05064,Sergey Dubovichenko,"S.B. Dubovichenko, N.A. Burkova, A.V. Dzhazairov-Kakhramanov","Role of resonances in the 8li(p,g)9be capture on reaction rate of the
  relevant astrophysical synthesis of 9be","tabl.7, fig.4, 43 ref. 15p",Nucl. Phys. 2020. V.A1000. #121842,10.1016/j.nuclphysa.2020.121842,"  The total cross sections of the radiative proton capture on 8Li at
astrophysical energies were considered in the framework of the modified
potential cluster model with forbidden states, with the classification of the
orbital cluster states according to Young diagrams. The recalculation of total
cross sections for the 9Be({\gamma},p0)8Li photodisintegration was used as
experimental data. In whole, it is possible to obtain the available data on
cross sections at energies to 7.0 MeV. Astrophysical S-factors and reaction
rates at the temperature range of 0.01 to 10 T9 were calculated. It was shown
that the resonances in the p8Li scattering channel considerably influence to
the reaction rate and, in the first place, the first - at 87 keV. The
analytical parametrization was obtained for calculated reaction rate.
",aphi-2019-3,['nucl-th'],"['v1', 'v2']"
1403.5457,Giulio Guzzinati,"Jo Verbeeck, Giulio Guzzinati, Laura Clark, Roeland Juchtmans, Ruben
  Van Boxem, He Tian, Armand B\'ech\'e, Axel Lubk, Gustaaf Van Tendeloo","Shaping electron beams for the generation of innovative measurements in
  the (S)TEM",,"Comptes Rendus Physique, 15(2-3), 190-199. (2014)",10.1016/j.crhy.2013.09.014,"  In TEM, a typical goal consists of making a small electron probe in the
sample plane in order to obtain high spatial resolution in scanning
transmission electron microscopy. In order to do so, the phase of the electron
wave is corrected to resemble a spherical wave compensating for aberrations in
the magnetic lenses. In this contribution we discuss the advantage of changing
the phase of an electron wave in a specific way in order to obtain
fundamentally different electron probes opening up new application in the
(S)TEM. We focus on electron vortex states as a specific family of waves with
an azimuthal phase signature and discuss their properties, production and
applications. The concepts presented here are rather general and also different
classes of probes can be obtained in a similar fashion showing that electron
probes can be tuned to optimise a specific measurement or interaction.
",,['physics.optics cond-mat.mtrl-sci'],['v1']
2004.11776,Yuya Morimoto,"Yuya Morimoto, Peter Baum",Single-cycle optical control of beam electrons,"13 pages, 3 figures","Phys. Rev. Lett. 125, 193202 (2020)",10.1103/PhysRevLett.125.193202,"  Single-cycle optical pulses with a controlled electromagnetic waveform allow
to steer the motion of low-energy electrons in atoms, molecules, nanostructures
or condensed-matter on attosecond dimensions in time. However, high-energy
electrons under single-cycle light control would be an enabling technology for
beam-based attosecond physics with free-electron lasers or electron microscopy.
Here we report the control of freely propagating keV electrons with an isolated
optical cycle of mid-infrared light and create a modulated electron current
with a peak-cycle-specific sub-femtosecond structure in time. The evident
effects of the carrier-envelope phase, amplitude and dispersion of the optical
waveform on the temporal composition, pulse durations and chirp of the
free-space electron wavefunction demonstrate the sub-cycle nature of our
control. These results create novel opportunities in laser-driven particle
acceleration, seeded free-electron lasers, attosecond space-time imaging,
electron quantum optics and wherever else high-energy electrons are needed with
the temporal structure of single-cycle light.
",,['physics.optics physics.acc-ph physics.atom-ph'],['v1']
1509.00270,Junyi Hu,"Junyi Hu, Shiyu Chen",A Better Lower Bound Estimation of Brennan's Conjecture,9 pages,,,"  In this paper, we obtained an equivalent proposition of Brennan`s conjecture.
And given two lower bound estimation of the conjecture one of them connected
with Schwarzian derivative. The present study also verified the correctness of
the conjecture in some special conditions.
",,['math.CV'],['v1']
1704.02845,"Ansgar J\""ungel","Marcel Braukhoff and Ansgar J\""ungel","Energy-transport systems for optical lattices: derivation, analysis,
  simulation",,,,"  Energy-transport equations for the transport of fermions in optical lattices
are formally derived from a Boltzmann transport equation with a periodic
lattice potential in the diffusive limit. The limit model possesses a formal
gradient-flow structure like in the case of the energy-transport equations for
semiconductors. At the zeroth-order high temperature limit, the
energy-transport equations reduce to the whole-space logarithmic diffusion
equation which has some unphysical properties. Therefore, the first-order
expansion is derived and analyzed. The existence of weak solutions to the
time-discretized system for the particle and energy densities with periodic
boundary conditions is proved. The difficulties are the nonstandard degeneracy
and the quadratic gradient term. The main tool of the proof is a result on the
strong convergence of the gradients of the approximate solutions. Numerical
simulations in one space dimension show that the particle density converges to
a constant steady state if the initial energy density is sufficiently large,
otherwise the particle density converges to a nonconstant steady state.
",,['math.AP'],['v1']
2006.12493,Fatemeh Ghasemi,Fatemeh Ghasemi and Afshin Shafiee,"An investigation into the energy transfer efficiency of a two-pigment
  photosynthetic system using a macroscopic quantum model",,,,"  Despite several different measures of efficiency that are applicable to the
photosynthetic systems, a precise degree of efficiency of these systems is not
completely determined. Introducing an efficient model for the dynamics of
light-harvesting complexes in biological environments is a major purpose in
investigating such systems. Here, we investigate the effect of macroscopic
quantum behavior of a system of two pigments on the transport phenomena in this
system model which interacts with an oscillating environment. We use the
second-order perturbation theory to calculate the time-dependent population of
excitonic states of a two-dimensional Hamiltonian using a non-master equation
approach. Our results demonstrate that the quantum efficiency is robust with
respect to the macroscopicity parameter h solely, but the ratio of
macroscopicity over the pigment-pigment interaction energy can be considered as
a parameter that may control the energy transfer efficiency at a given time.
So, the dynamical behavior and the quantum efficiency of the supposed
photosynthetic system may be influenced by a change in the macroscopic behavior
of the system.
",,['physics.chem-ph quant-ph'],['v1']
hep-th/0010049,Jz,Jorge Zanelli,Chern-Simons Gravity: From 2+1 to 2n+1 Dimensions,"17 pages, two columns, latex, no figures, Lectures presented at the
  XX Encontro de Fisica de Particulas e Campos, Sao Lourenco, Brazil, October
  1999, and at the Fifth La Hechicera School, Merida, Venezuela, November 1999","Braz.J.Phys.30:251-267,2000",,"  These lectures provide an elementary introduction to Chern Simons Gravity and
Supergravity in $d=2n+1$ dimensions.
",,['hep-th'],['v1']
1307.8013,Zhen Jia,"Zhen Jia, Lei Wang, Jianfeng Zhan, Lixin Zhang, Chunjie Luo",Characterizing Data Analysis Workloads in Data Centers,"11 pages, 12 figures, IISWC2013",,,"  As the amount of data explodes rapidly, more and more corporations are using
data centers to make effective decisions and gain a competitive edge. Data
analysis applications play a significant role in data centers, and hence it has
became increasingly important to understand their behaviors in order to further
improve the performance of data center computer systems. In this paper, after
investigating three most important application domains in terms of page views
and daily visitors, we choose eleven representative data analysis workloads and
characterize their micro-architectural characteristics by using hardware
performance counters, in order to understand the impacts and implications of
data analysis workloads on the systems equipped with modern superscalar
out-of-order processors. Our study on the workloads reveals that data analysis
applications share many inherent characteristics, which place them in a
different class from desktop (SPEC CPU2006), HPC (HPCC), and service workloads,
including traditional server workloads (SPECweb2005) and scale-out service
workloads (four among six benchmarks in CloudSuite), and accordingly we give
several recommendations for architecture and system optimizations. On the basis
of our workload characterization work, we released a benchmark suite named
DCBench for typical datacenter workloads, including data analysis and service
workloads, with an open-source license on our project home page on
http://prof.ict.ac.cn/DCBench. We hope that DCBench is helpful for performing
architecture and small-to-medium scale system researches for datacenter
computing.
",,['cs.PF'],['v1']
1812.11061,Denis Antipov,"Denis Antipov, Benjamin Doerr",A Tight Runtime Analysis for the $(\mu + \lambda)$ EA,"50 pages, extended version of the conference paper Denis Antipov,
  Benjamin Doerr, Jiefeng Fang, and Tangi Hetet Runtime analysis for the ({\mu}
  + {\lambda}) EA optimizing OneMax. In Genetic and Evolutionary Computation
  Conference, GECCO 2018, pages 1459-1466. ACM, 2018","Algorithmica 83, 1054-1095 (2021)",10.1007/s00453-020-00731-5,"  Despite significant progress in the theory of evolutionary algorithms, the
theoretical understanding of evolutionary algorithms which use non-trivial
populations remains challenging and only few rigorous results exist. Already
for the most basic problem, the determination of the asymptotic runtime of the
$(\mu+\lambda)$ evolutionary algorithm on the simple OneMax benchmark function,
only the special cases $\mu=1$ and $\lambda=1$ have been solved.
  In this work, we analyze this long-standing problem and show the
asymptotically tight result that the runtime $T$, the number of iterations
until the optimum is found, satisfies \[E[T] = \Theta\bigg(\frac{n\log
n}{\lambda}+\frac{n}{\lambda / \mu} + \frac{n\log^+\log^+ \lambda/ \mu}{\log^+
\lambda / \mu}\bigg),\] where $\log^+ x := \max\{1, \log x\}$ for all $x > 0$.
  The same methods allow to improve the previous-best $O(\frac{n \log
n}{\lambda} + n \log \lambda)$ runtime guarantee for the $(\lambda+\lambda)$~EA
with fair parent selection to a tight $\Theta(\frac{n \log n}{\lambda} + n)$
runtime result.
",,['cs.NE'],"['v1', 'v2']"
0707.1197,Umberto D'Alesio,"M. Anselmino (1), M. Boglione (1), U. D'Alesio (2), A. Kotzinian (3),
  F. Murgia (2), A. Prokudin (1), C. Turk (1) ((1) University and INFN, Torino,
  Italy, (2) University and INFN Cagliari, Italy, (3) Yerevan Physics
  Institute, Armenia and JINR, Dubna, Russia)","Transversity and Collins Functions: from e+ e- --> h1 h2 X to SIDIS
  Processes","LaTeX 2e, 4 pages, 6 figures, uses dis07.cls. Talk delivered by U.
  D'Alesio at the ``15th International Workshop on DIS'', DIS2007, April 16-21,
  2007, Munich, Germany",,,"  We present [1] the first simultaneous extraction of the transversity
distribution and the Collins fragmentation function, obtained through a
combined analysis of experimental data on azimuthal asymmetries in
semi-inclusive deep inelastic scattering (SIDIS), from the HERMES and COMPASS
Collaborations, and in e+ e- --> h1 h2 X processes, from the Belle
Collaboration.
",,['hep-ph'],['v1']
1904.08585,Siqi Yi,"Siqi Yi, Stewart Worrall, Eduardo Nebot",Metrics for the Evaluation of localisation Robustness,,,,"  Robustness and safety are crucial properties for the real-world application
of autonomous vehicles. One of the most critical components of any autonomous
system is localisation. During the last 20 years there has been significant
progress in this area with the introduction of very efficient algorithms for
mapping, localisation and SLAM. Many of these algorithms present impressive
demonstrations for a particular domain, but fail to operate reliably with
changes to the operating environment. The aspect of robustness has not received
enough attention and localisation systems for self-driving vehicle applications
are seldom evaluated for their robustness. In this paper we propose novel
metrics to effectively quantify localisation robustness with or without an
accurate ground truth. The experimental results present a comprehensive
analysis of the application of these metrics against a number of well known
localisation strategies.
",,['cs.RO'],['v1']
1810.05292,Sara Hosseinzadeh Kassani,"Sara Hosseinzadeh Kassani, Ralph Deters","Leveraging protection and efficiency of query answering in heterogenous
  RDF data using blockchain",arXiv admin note: text overlap with arXiv:1810.04606,,,"  The Semantic Web, an extension of the current web, provides a common
framework that makes data machine understandable and also allows data to be
shared and reused across various applications. Resource Description Framework
(RDF), a graph-based data model for describing things (entities), facilitates
data integration. Due to the explosion of the amount of RDF data, developing
tools to support processing and answering of complex queries over the
integrated data has become challenging. To overcome this challenge in query
processing in semantic data integration frameworks, we provide a view layer
inserted between the heterogeneous data sources and user interface layer while
ensuring only authorized users are allowed access to the information. The view
layer must provide a support in terms of access, integration, querying,
management of data sources in a multi-user environment.
",,['cs.CR'],"['v1', 'v2']"
1302.2258,Yan-Hua Hou,"Yan-Hua Hou, Lev P. Pitaevskii, Sandro Stringari","Scaling solutions of the two fluid hydrodynamic equations in a
  harmonically trapped gas at unitarity",4 pages,"Phys. Rev. A. 87, 033620 (2013)",10.1103/PhysRevA.87.033620,"  We prove that the two fluid Landau hydrodynamic equations, when applied to a
gas interacting with infinite scattering length (unitary gas) in the presence
of harmonic trapping, admit exact scaling solutions of mixed compressional and
surface nature. These solutions are characterized by a linear dependence of the
velocity field on the spatial coordinates and a temperature independent
frequency which is calculated in terms of the parameters of the trap. Our
results are derived in the regime of small amplitude oscillations and hold both
below and above the superfluid phase transition. They apply to isotropic as
well as to deformed configurations, thereby providing a generalization of
Castin's theorem (Y. Castin, C. R. Phys. \textbf{5}, 407 (2004)) holding for
isotropic trapping. Our predictions agree with the experimental findings in
resonantly interacting atomic Fermi gases. The breathing scaling solution, in
the presence of isotropic trapping, is also used to prove the vanishing of two
bulk viscosity coefficients in the superfluid phase.
",,['cond-mat.quant-gas'],['v1']
2004.10873,Guilherme De Castro Mendes Gomes,"Guilherme C. M. Gomes, S\'ergio H. Nogueira, Vinicius F. dos Santos",Some results on Vertex Separator Reconfiguration,"21 pages, 8 figures",,,"  We present the first results on the complexity of the reconfiguration of
vertex separators under the three most popular rules: token addition/removal,
token jumping, and token sliding. We show that, aside from some trivially
negative instances, the first two rules are equivalent to each other and that,
even if only on a subclass of bipartite graphs, TJ is not equivalent to the
other two unless $\mathsf{NP} = \mathsf{PSPACE}$; we do this by showing a
relationship between separators and independent sets in this subclass of
bipartite graphs. In terms of polynomial time algorithms, we show that every
class with a polynomially bounded number of minimal vertex separators admits an
efficient algorithm under token jumping, then turn our attention to two classes
that do not meet this condition: $\{3P_1, diamond\}$-free and series-parallel
graphs. For the first, we describe a novel characterization, which we use to
show that reconfiguring vertex separators under token jumping is always
possible and that, under token sliding, it can be done in polynomial time; for
series-parallel graphs, we also prove that reconfiguration is always possible
under TJ and exhibit a polynomial time algorithm to construct the
reconfiguration sequence.
",,['cs.CC cs.DS'],['v1']
quant-ph/0506184,Robert C. Bishop,Robert C. Bishop,The Arrow of Time in Rigged Hilbert Space Quantum Mechanics,13 pages,,,"  Arno Bohm and Ilya Prigogine's Brussels-Austin Group have been working on the
quantum mechanical arrow of time and irreversibility in rigged Hilbert space
quantum mechanics. A crucial notion in Bohm's approach is the so-called
preparation/registration arrow. An analysis of this arrow and its role in
Bohm's theory of scattering is given. Similarly, the Brussels-Austin Group uses
an excitation/de-excitation arrow for ordering events, which is also analyzed.
The relationship between the two approaches is initially discussed focusing on
their semi-group operators and time arrows. Finally a possible realist
interpretation of the rigged Hilbert space formulation of quantum mechanics is
considered.
",,['quant-ph'],['v1']
1012.1011,Fabio Mezzacapo,Fabio Mezzacapo,"Variational study of a mobile hole in a two dimensional quantum
  antiferromagnet using entangled-plaquette states","5 pages, 2 tables, 4 figures","Phys. Rev. B 83, 115111 (2011)",10.1103/PhysRevB.83.115111,"  We study the properties of a mobile hole in the $t-J$ model on the square
lattice by means of variational Monte Carlo simulations based on the
entangled-plaquette ansatz. Our energy estimates for small lattices reproduce
available exact results. We obtain values for the hole energy dispersion curve
on large lattices in quantitative agreement with earlier findings based on the
most reliable numerical techniques. Accurate estimates of the hole spectral
weight are provided.
",,['cond-mat.str-el'],"['v1', 'v2', 'v3']"
2004.11617,Ashish Orpe,"Sameer Huprikar and Saurabh Usgaonkar and Ashish K. Lele and Ashish V.
  Orpe",Microstructure and yielding of capillary force induced gel,"16 pages, 14 figures","Rheologica Acta, 59, 291 (2020)",10.1007/s00397-020-01189-6,"  We have investigated the rheology and structure of a gel formed from a
mixture of non-Brownian particles and two immiscible liquids. The suspension of
particles in a liquid undergoes gelation upon the addition of a small content
of second, wetting liquid which forms liquid bridges between particles leading
to a sample spanning network. The rheology of this gel primarily exhibits a
yield stress at low shear rates followed by a linear variation of shear stress
at high shear rates. The apparent yield stress extracted from the flow curves
increases rapidly with volume fraction of second liquid before saturation,
while it exhibits a monotonic increase with increasing particle concentration.
Rescaling of the yield stress curves using suitable shift factors results in an
empirical expression for the yield stress showing squared dependence on liquid
fraction and a rapid increase with particle fraction above a certain value,
both combined in a highly nonlinear manner. The microstructural variations with
changing secondary liquid content and particle fractions are captured using
three dimensional X-ray tomography technique. The microstructure is observed to
show increased local compactness with increased liquid content and increased
spatial homogeneity with increased particle fractions. The images from X-ray
tomography are analysed to obtain the distributions of particle-particle bonds
(coordination number) in the system which serve to explain the observed yield
stress behavior in a qualitative manner.
",,['cond-mat.soft'],['v1']
1202.0974,M. L. Rosinberg,T. Munakata and M. L. Rosinberg,"Entropy production and fluctuation theorems under feedback control: the
  molecular refrigerator model revisited","16 pages, 5 figures. References 9,10,13,14,15 added. A few changes in
  the text. Accepted for publication in J. Stat. Mech",,10.1088/1742-5468/2012/05/P05010,"  We revisit the model of a Brownian particle in a heat bath submitted to an
actively controlled force proportional to the velocity that leads to thermal
noise reduction (cold damping). We investigate the influence of the continuous
feedback on the fluctuations of the total entropy production and show that the
explicit expression of the detailed fluctuation theorem involves different
dynamics and observables in the forward and backward processes. As an
illustration, we study the analytically solvable case of a harmonic oscillator
and calculate the characteristic function of the entropy production in a
nonequilibrium steady state. We then determine the corresponding large
deviation function which results from an unusual interplay between 'boundary'
and 'bulk' contributions.
",,['cond-mat.stat-mech cond-mat.mes-hall'],"['v1', 'v2']"
1001.0714,Elisabeth Werner M,"Mathieu Meyer, Carsten Sch\""utt and Elisabeth M. Werner",A convex body whose centroid and Santal\'o point are far apart,,,,"  We give an example of a convex body whose centroid and Santal\'o point are
""far apart"".
",,['math.FA'],['v1']
1301.0357,Aurel Bulgac,Aurel Bulgac,"Time-Dependent Density Functional Theory and the Real-Time Dynamics of
  Fermi Superfluids","49 pages, 14 figures","Annu. Rev. of Nucl. Part. Sci., 63, 97 (2013)",10.1146/annurev-nucl-102212-170631,"  I describe the Time-Dependent Superfluid Local Density Approximation, which
is an adiabatic extension of the Density Functional Theory to superfluid Fermi
systems and their real-time dynamics. This new theoretical framework has been
applied to describe a number of phenomena in cold atomic gases and nuclear
collective motion: excitation of the Higgs modes in strongly interacting Fermi
superfluids, generation of quantized vortices, crossing and reconnection of
vortices, excitation of the superflow at velocities above the critical
velocity, excitation of quantum shock waves and domain walls in the collisions
of superfluid atomic clouds, excitation of collective states in nuclei.
",,['cond-mat.quant-gas nucl-th'],['v1']
astro-ph/0407011,Elizabeth Angstmann,"E. J. Angstmann, V. V. Flambaum and S. G. Karshenboim",Limits on a Dynamically Varying Fine Structure Constant,"references added, typos corrected","Phys.Rev.A70:044104,2004",10.1103/PhysRevA.70.044104,"  We show that using the modified form of the Dirac Hamiltonian as suggested by
Bekenstein, does not affect the analysis in [1-4] of QSO data pertaining to a
measurement of alpha variation. We obtain the present time limit on
Bekenstein's parameter, tan^{2}chi =(0.2 \pm 0.7)\times10^{-6}, from the
measurement of the hydrogen 2p fine structure using value of alpha obtained
from different experiments.
",,['astro-ph hep-th physics.atom-ph'],"['v1', 'v2', 'v3']"
0905.3884,Hideto Asashiba,Hideto Asashiba,"A generalization of Gabriel's Galois covering functors II: 2-categorical
  Cohen-Montgomery duality","31 pages. I moved the Sec of G-GrCat into Sec 3, and added Lem 5.6. I
  added more explanations in the proof of Cor 7.6 with (7.5). I added Def 7.7
  and Lem 7.8 with the necessary additional assumptions in Props 7.9 and 7.11.
  I added Lem 8.8 with a short proof, Rmk 8.9 and the proof of Lem 8.10. The
  final publication is available at Springer via
  http://dx.doi.org/10.1007/s10485-015-9416-9",,10.1007/s10485-015-9416-9,"  Given a group $G$, we define suitable 2-categorical structures on the class
of all small categories with $G$-actions and on the class of all small
$G$-graded categories, and prove that 2-categorical extensions of the orbit
category construction and of the smash product construction turn out to be
2-equivalences (2-quasi-inverses to each other), which extends the
Cohen-Montgomery duality.
",,['math.CT math.RA'],"['v1', 'v2', 'v3', 'v4']"
1307.6234,Bin Zhang,Bin Zhang (Arkansas State U.),"Equilibrium and equilibration in a gluon plasma with improved matrix
  elements","Presented at the 25th International Nuclear Physics Conference (INPC
  2013), Florence, Italy, 2-7 June 2013",,10.1051/epjconf/20146604031,"  The hot and dense matter created in the early stage of a relativistic heavy
ion collision is composed mainly of gluons. Radiative processes can play an
important role for the thermalization of such partonic systems. The simplest
parton number changing processes are commonly described by the Gunion-Bertsch
formula. We show that the cross section from the exact matrix element for the
lowest order radiative process could be significantly smaller than that based
on the Gunion-Bertsch formula. In light of this, we discuss the role of
radiative processes on the equilibrium and equilibration of a gluon plasma.
",,['nucl-th'],['v1']
1907.05978,Hong-Shi Zong,"Peng Cheng, Xiaofeng Luo, Jialun Ping, Hongshi Zong","Finite volume effects on quarkonium dissociation temperature in an
  impenetrable QGP sphere","9 pages, 16 figures","Phys. Rev. D 100, 014027 (2019)",10.1103/PhysRevD.100.014027,"  The system of a quarkonium confined by an impenetrable spherical cavity
filled with a hot quantum chromodynamics (QCD) medium is studied by solving the
Schr\""{o}dinger equation. This is the first time this issue has been raised for
discussion. The Schr\""{o}dinger equation with an appropriate boundary condition
of a quarkonium in an impenetrable cavity filled with a hot medium is derived.
The numerical results are obtained with the help of Gaussian Expansion Method.
Binding energies and radii of the ground and low-excited states are obtained as
a function of the medium temperature and the cavity radius. We find the
behaviour of quarkonium in this cavity is different from that in infinite
space. Our results show that the quarkonium dissociation temperature decreases
as the cavity radius decreases and the finite volume effects on the ground
state are more obvious than on the excited states. We also find that the less
mass of the constituents and the bigger radius of the quarkonium lead the
finite volume effects to become more obvious.
",,['nucl-th'],['v1']
0909.0537,Sariel Har-Peled,"Chandra Chekuri, Kenneth L. Clarkson, and Sariel Har-Peled",On the Set Multi-Cover Problem in Geometric Settings,,,,"  We consider the set multi-cover problem in geometric settings. Given a set of
points P and a collection of geometric shapes (or sets) F, we wish to find a
minimum cardinality subset of F such that each point p in P is covered by
(contained in) at least d(p) sets. Here d(p) is an integer demand (requirement)
for p. When the demands d(p)=1 for all p, this is the standard set cover
problem. The set cover problem in geometric settings admits an approximation
ratio that is better than that for the general version. In this paper, we show
that similar improvements can be obtained for the multi-cover problem as well.
In particular, we obtain an O(log Opt) approximation for set systems of bounded
VC-dimension, where Opt is the cardinality of an optimal solution, and an O(1)
approximation for covering points by half-spaces in three dimensions and for
some other classes of shapes.
",,['cs.CG'],['v1']
astro-ph/0505489,Robert Schmidt,"E. R. Gaynullina (1), R. W. Schmidt (2), T. Akhunov (1,3), O.
  Burkhonov (3), S. Gottloeber (4), K. Mirtadjieva (1,3), S. N. Nuritdinov
  (1,3), I. Tadjibaev (1,3), J. Wambsganss (2), L. Wisotzki (4) ((1) National
  University of Uzbekistan, (2) ARI/Zentrum f. Astronomie Heidelberg, (3) Ulugh
  Beg Astronomical Institute, (4) AIP)",Microlensing in the double quasar SBS1520+530,"6 pages, 7 figures. Accepted for publication in A&A",Astron.Astrophys. 440 (2005) 53,10.1051/0004-6361:20052852,"  We present the results of a monitoring campaign of the double quasar
SBS1520+530 at Maidanak observatory from April 2003 to August 2004. We obtained
light curves in V and R filters that show small-amplitude \Delta m~0.1 mag
intrinsic variations of the quasar on time scales of about 100 days. The data
set is consistent with the previously determined time delay of \Delta
t=(130+-3) days by Burud et al. (2002). We find that the time delay corrected
magnitude difference between the quasar images is now larger by (0.14+-0.03)
mag than during the observations by Burud et al. (2002). This confirms the
presence of gravitational microlensing variations in this system.
",,['astro-ph'],['v1']
1007.0027,Paolo Creminelli,"Paolo Creminelli, Alberto Nicolis, and Enrico Trincherini",Galilean Genesis: an alternative to inflation,"25 pages, 1 figure. v2: minor changes, JCAP published version","JCAP 1011:021,2010",10.1088/1475-7516/2010/11/021,"  We propose a novel cosmological scenario, in which standard inflation is
replaced by an expanding phase with a drastic violation of the Null Energy
Condition (NEC): \dot H >> H^2. The model is based on the recently introduced
Galileon theories, that allow NEC violating solutions without instabilities.
The unperturbed solution describes a Universe that is asymptotically Minkowski
in the past, expands with increasing energy density until it exits the regime
of validity of the effective field theory and reheats. This solution is a
dynamical attractor and the Universe is driven to it, even if it is initially
contracting. The study of perturbations of the Galileon field reveals some
subtleties, related to the gross violation of the NEC and it shows that
adiabatic perturbations are cosmologically irrelevant. The model, however,
suggests a new way to produce a scale invariant spectrum of isocurvature
perturbations, which can later be converted to adiabatic: the Galileon is
forced by symmetry to couple to the other fields as a dilaton; the effective
metric it yields on the NEC violating solution is that of de Sitter space, so
that all light scalars will automatically acquire a nearly scale-invariant
spectrum of perturbations.
",,['hep-th astro-ph.CO gr-qc'],"['v1', 'v2']"
0812.0678,Denis Kochan,Denis Kochan,Does a functional integral really need a Lagrangian?,"4 pages, published version, references added, comments are welcome","Acta Polytech.50:57-61,2010",,"  Path integral formulation of quantum mechanics (and also other equivalent
formulations) depends on a Lagrangian and/or Hamiltonian function that is
chosen to describe the underlying classical system. The arbitrariness presented
in this choice leads to a phenomenon called Quantization ambiguity. For example
both $L_1=\dot{q}^2$ and $L_2=e^\dot{q}$ are suitable Lagrangians on a
classical level ($\delta L_1=0=\delta L_2$), but quantum mechanically they are
diverse. This paper presents a simple rearrangement of the path integral to a
surface functional integral. It is shown that the surface functional integral
formulation gives transition probability amplitude which is free of any
Lagrangian/Hamiltonian and requires just the underlying classical equations of
motion. A simple example examining the functionality of the proposed method is
considered.
",,['quant-ph hep-th math-ph math.MP'],"['v1', 'v2']"
2106.06512,"Tam\'as G\""orbe","Jan Felipe van Diejen, Tam\'as G\""orbe",Elliptic Ruijsenaars difference operators on bounded partitions,"14 pages, v2: minor corrections and reference added",,10.1093/imrn/rnab251,"  By means of a truncation condition on the parameters, the elliptic
Ruijsenaars difference operators are restricted onto a finite lattice of points
encoded by bounded partitions. A corresponding orthogonal basis of joint
eigenfunctions is constructed in terms of polynomials on the joint spectrum. In
the trigonometric limit, this recovers the diagonalization of the truncated
Macdonald difference operators by a finite-dimensional basis of Macdonald
polynomials.
",,['math-ph math.MP nlin.SI'],"['v1', 'v2']"
1702.02381,Camelia Mu\~noz-Caro,"C. Mu\~noz-Caro (1), A. Ni\~no (1) and S. Reyes (1) ((1) SciCom
  Research Group, Universidad de Castilla-La Mancha, Spain)","A bibliometric approach to Systematic Mapping Studies: The case of the
  evolution and perspectives of community detection in complex networks",27 pages; 5 figures; 3 tables,,,"  Critical analysis of the state of the art is a necessary task when
identifying new research lines worthwhile to pursue. To such an end, all the
available work related to the field of interest must be taken into account. The
key point is how to organize, analyze, and make sense of the huge amount of
scientific literature available today on any topic. To tackle this problem, we
present here a bibliometric approach to Systematic Mapping Studies (SMS). Thus,
a modify SMS protocol is used relying on the scientific references metadata to
extract, process and interpret the wealth of information contained in nowadays
research literature. As a test case, the procedure is applied to determine the
current state and perspectives of community detection in complex networks. Our
results show that community detection is a still active, far from exhausted, in
development, field. In addition, we find that, by far, the most exploited
methods are those related to determining hierarchical community structures. On
the other hand, the results show that fuzzy clustering techniques, despite
their interest, are underdeveloped as well as the adaptation of existing
algorithms to parallel or, more specifically, distributed, computational
systems.
",,['cs.SI cs.DL physics.soc-ph'],['v1']
patt-sol/9708004,John D. Crawford,"John David Crawford (Department of Physics and Astronomy, University
  of Pittsburgh, Pittsburgh, PA) and Edgar Knobloch (Department of Physics,
  University of California, Berkeley, CA)","Amplitude equations for coupled electrostatic waves in the limit of weak
  instability","34 pages (Latex), no figures",,10.1017/S0022377898006540,"  We consider the simplest instabilities involving multiple unstable
electrostatic plasma waves corresponding to four-dimensional systems of mode
amplitude equations. In each case the coupled amplitude equations are derived
up to third order terms. The nonlinear coefficients are singular in the limit
in which the linear growth rates vanish together. These singularities are
analyzed using techniques developed in previous studies of a single unstable
wave. In addition to the singularities familiar from the one mode problem,
there are new singularities in coefficients coupling the modes. The new
singularities are most severe when the two waves have the same linear phase
velocity and satisfy the spatial resonance condition $k_2=2k_1$. As a result
the short wave mode saturates at a dramatically smaller amplitude than that
predicted for the weak growth rate regime on the basis of single mode theory.
In contrast the long wave mode retains the single mode scaling. If these
resonance conditions are not satisfied both modes retain their single mode
scaling and saturate at comparable amplitudes.
",,['patt-sol nlin.PS'],['v1']
